Metabolite Clone1 Clone2 log2FC plotContrast
0.554/113.03593 AC9.1 AC9.3 0.63861 "AC9.1 vs AC9.3"
0.554/113.03593 AC9.2 AC9.3 0.33668 "AC9.2 vs AC9.3"
0.554/113.03593 AC9.1 AC9.2 0.30193 "AC9.1 vs AC9.2"
0.567/114.05587 AC9.1 E30 0.33719 "AC9.1 vs E30"
0.567/114.05587 AC9.2 E30 -0.12816 "AC9.2 vs E30"
0.567/114.05587 AC9.3 E30 0.2419 "AC9.3 vs E30"
0.567/114.05587 AC9.1 AC9.3 0.095294 "AC9.1 vs AC9.3"
0.567/114.05587 AC9.2 AC9.3 -0.37006 "AC9.2 vs AC9.3"
0.567/114.05587 AC9.1 AC9.2 0.46536 "AC9.1 vs AC9.2"
0.460/115.00332 AC9.1 E30 0.16607 "AC9.1 vs E30"
0.460/115.00332 AC9.2 E30 0.7247 "AC9.2 vs E30"
0.460/115.00332 AC9.3 E30 0.7613 "AC9.3 vs E30"
0.460/115.00332 AC9.1 AC9.3 -0.59523 "AC9.1 vs AC9.3"
0.460/115.00332 AC9.2 AC9.3 -0.036599 "AC9.2 vs AC9.3"
0.460/115.00332 AC9.1 AC9.2 -0.55863 "AC9.1 vs AC9.2"
0.584/115.71340 AC9.1 E30 0.14664 "AC9.1 vs E30"
0.584/115.71340 AC9.2 E30 0.29769 "AC9.2 vs E30"
0.584/115.71340 AC9.3 E30 0.032521 "AC9.3 vs E30"
0.584/115.71340 AC9.1 AC9.3 0.11412 "AC9.1 vs AC9.3"
0.584/115.71340 AC9.2 AC9.3 0.26517 "AC9.2 vs AC9.3"
0.584/115.71340 AC9.1 AC9.2 -0.15105 "AC9.1 vs AC9.2"
1.060/116.01811 AC9.1 E30 0.41294 "AC9.1 vs E30"
1.060/116.01811 AC9.2 E30 1.1724 "AC9.2 vs E30"
1.060/116.01811 AC9.3 E30 0.09529 "AC9.3 vs E30"
1.060/116.01811 AC9.1 AC9.3 0.31765 "AC9.1 vs AC9.3"
1.060/116.01811 AC9.2 AC9.3 1.0771 "AC9.2 vs AC9.3"
1.060/116.01811 AC9.1 AC9.2 -0.75948 "AC9.1 vs AC9.2"
2.134/116.05069 AC9.1 E30 0.11584 "AC9.1 vs E30"
2.134/116.05069 AC9.2 E30 -0.051304 "AC9.2 vs E30"
