AnalysisMode	Contrast	plotContrast	Metabolite	Ratio_Change	FoldChange	pValue	padj
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/176.54439	2.0521778159063553	1.037155742159372	0.07620967741935483	0
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.864/176.98169	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.626/176.98174	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.592/177.04114	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.810/177.07627	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.626/178.97822	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.867/178.97853	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.569/179.05548	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.757/179.05660	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.062/179.98887	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.744/180.06683	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.568/181.07139	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.060/181.98663	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.634/181.99518	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/182.01284	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.585/182.09351	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.799/182.09428	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.864/184.00109	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.927/184.05437	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.815/184.05519	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.578/184.05959	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.177/184.88613	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.552/185.02274	2.850753233069629	1.5113431620977869	0.02338709677419355	0
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.544/185.99440	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.624/186.03024	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.834/186.11360	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.644/187.01102	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.989/187.01928	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.094/187.09750	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.948/187.10915	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.629/187.11010	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.560/187.98882	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.630/188.03703	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.779/188.04602	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.214/188.96182	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.560/189.04284	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.120/190.09393	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.369/191.01903	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	6.045/191.01925	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.562/191.01988	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.941/191.01991	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.450/191.02047	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.569/191.10309	NA	NA	NA	NA
