"",f.value,p.value,-log10(p),FDR,Fisher's LSD
4.600/503.14960,12.27,0.0010901,2.9625,0.0094922,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.937/684.02192,12.169,0.0011236,2.9494,0.0097147,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3
4.409/175.14495,12.159,0.0011271,2.948,0.0097147,AC9.1 - AC9.2; AC9.1 - E30; AC9.3 - AC9.2; QC - AC9.2; AC9.3 - E30; QC - E30
5.201/401.06812,12.134,0.0011356,2.9448,0.0097388,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
3.677/177.13402,11.893,0.0012223,2.9128,0.01043,AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3; AC9.2 - E30; E30 - AC9.3; QC - AC9.3
0.806/198.16142,11.815,0.0012522,2.9023,0.010631,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
3.663/90.05256,11.764,0.0012722,2.8955,0.010679,E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; E30 - AC9.3; E30 - QC
4.646/336.17850,11.723,0.0012883,2.89,0.010679,AC9.3 - AC9.1; AC9.1 - E30; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
0.840/103.78735,11.716,0.0012913,2.889,0.010679,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
0.678/260.18970,11.712,0.0012929,2.8884,0.010679,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3; AC9.2 - E30
1.339/124.07452,11.706,0.0012951,2.8877,0.010679,AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
4.918/430.14967,11.705,0.0012956,2.8875,0.010679,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3; E30 - QC
1.580/344.25999,11.607,0.0013357,2.8743,0.010957,AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; AC9.3 - E30; QC - E30
4.440/335.09031,11.515,0.001375,2.8617,0.011168,AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC
4.660/174.05697,11.507,0.0013787,2.8605,0.011168,AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2
4.943/487.23930,11.501,0.0013812,2.8597,0.011168,AC9.2 - AC9.1; AC9.3 - AC9.1; AC9.2 - E30; AC9.2 - QC; AC9.3 - E30
4.383/128.06899,11.439,0.0014087,2.8512,0.01123,AC9.1 - AC9.2; AC9.1 - AC9.3; E30 - AC9.2; QC - AC9.2; E30 - AC9.3; QC - AC9.3
1.388/58.06314,11.431,0.001412,2.8502,0.01123,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
4.834/301.08419,11.429,0.0014131,2.8498,0.01123,AC9.1 - AC9.2; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2; E30 - AC9.3; E30 - QC
6.007/230.14522,11.424,0.0014154,2.8491,0.01123,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
4.600/334.19727,11.375,0.0014377,2.8423,0.011322,AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.2 - E30; AC9.3 - E30; AC9.3 - QC; QC - E30
3.641/60.05345,11.364,0.0014426,2.8409,0.011322,AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3; AC9.2 - E30; QC - E30
2.232/200.06965,11.344,0.001452,2.838,0.011322,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3
3.660/284.10374,11.34,0.0014536,2.8375,0.011322,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; AC9.3 - QC; E30 - QC
6.011/349.20089,11.291,0.0014766,2.8307,0.011449,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
0.751/116.10573,11.137,0.0015517,2.8092,0.011952,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
6.006/557.25944,11.13,0.0015556,2.8081,0.011952,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
3.683/268.02270,11.061,0.0015907,2.7984,0.012166,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3; QC - E30
4.320/246.06331,10.998,0.0016235,2.7895,0.012362,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
0.667/538.39292,10.98,0.0016332,2.787,0.012381,AC9.3 - AC9.1; AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; AC9.3 - QC; QC - E30
3.680/274.10888,10.946,0.0016517,2.7821,0.012451,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3
4.918/379.90032,10.936,0.0016572,2.7806,0.012451,AC9.2 - AC9.1; AC9.3 - AC9.1; AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
3.670/214.06564,10.835,0.0017136,2.7661,0.012818,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; AC9.3 - QC; E30 - QC
4.768/370.02709,10.818,0.0017228,2.7638,0.012831,AC9.2 - AC9.1; AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3; E30 - QC
4.300/316.11984,10.773,0.0017492,2.7571,0.012933,AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
0.569/305.12159,10.768,0.0017518,2.7565,0.012933,E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
1.350/132.13725,10.717,0.0017821,2.7491,0.013099,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
0.744/418.29045,10.697,0.0017937,2.7463,0.013128,AC9.2 - AC9.1; AC9.3 - AC9.1; AC9.2 - E30; AC9.3 - E30; AC9.3 - QC
2.238/323.22336,10.65,0.0018224,2.7393,0.013281,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3
3.657/270.12288,10.629,0.0018356,2.7362,0.01332,AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2
2.133/207.06951,10.612,0.001846,2.7338,0.013338,AC9.2 - AC9.1; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; AC9.2 - QC; AC9.3 - E30; QC - E30
4.543/495.51946,10.523,0.0019024,2.7207,0.013688,AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - AC9.2; AC9.3 - E30
4.795/407.98411,10.508,0.001912,2.7185,0.013699,AC9.1 - AC9.3; AC9.2 - AC9.3; AC9.2 - QC; E30 - AC9.3; E30 - QC
4.635/266.10893,10.474,0.0019341,2.7135,0.013799,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; AC9.3 - E30; AC9.3 - QC
2.213/248.15244,10.425,0.0019668,2.7062,0.013973,AC9.2 - AC9.1; AC9.1 - AC9.3; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3
4.847/366.18906,10.366,0.0020072,2.6974,0.014201,AC9.1 - AC9.2; AC9.3 - AC9.1; AC9.3 - AC9.2; QC - AC9.2; AC9.3 - E30; AC9.3 - QC
5.120/262.15355,10.325,0.0020353,2.6914,0.01434,AC9.1 - AC9.2; AC9.1 - E30; AC9.3 - AC9.2; QC - AC9.2; AC9.3 - E30
4.350/240.05592,10.138,0.0021716,2.6632,0.015237,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
4.365/188.57747,10.123,0.0021834,2.6609,0.015257,AC9.1 - AC9.2; AC9.1 - E30; AC9.1 - QC; AC9.3 - AC9.2; AC9.2 - E30; AC9.3 - E30; AC9.3 - QC
4.785/252.08436,10.046,0.0022428,2.6492,0.015607,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
